word	number_observed	number_stories_observed	transmitted	number_words_read	condition	layer_n	rep	base_frequency
histori	1.0	1.0	0	265.0	Chain	1	1	0.1038545658943338
peopl	4.0	1.0	1	265.0	Chain	1	1	0.4976248140979346
die	4.0	1.0	1	265.0	Chain	1	1	0.402196138974671
cancer	1.0	1.0	1	265.0	Chain	1	1	0.4089989240474144
heart	1.0	1.0	1	265.0	Chain	1	1	0.3071047115914543
diseas	2.0	1.0	1	265.0	Chain	1	1	0.3104230566743171
lifestyl	1.0	1.0	0	265.0	Chain	1	1	0.089726179971524
common	1.0	1.0	0	265.0	Chain	1	1	0.0783798447255387
western	1.0	1.0	0	265.0	Chain	1	1	0.0146210281548491
world	4.0	1.0	0	265.0	Chain	1	1	0.0738220357996255
today	2.0	1.0	0	265.0	Chain	1	1	0.0890281991437078
mostli	1.0	1.0	0	265.0	Chain	1	1	0.0500149268696244
live	3.0	1.0	1	265.0	Chain	1	1	0.3044764628928098
long	1.0	1.0	1	265.0	Chain	1	1	0.2783002371061236
enough	1.0	1.0	1	265.0	Chain	1	1	0.2567575458721157
develop	2.0	1.0	1	265.0	Chain	1	1	0.2378181754124134
them	2.0	1.0	1	265.0	Chain	1	1	0.1230774137940267
injuri	2.0	1.0	1	265.0	Chain	1	1	0.1738006085570416
gore	1.0	1.0	0	265.0	Chain	1	1	0.0719132768880326
ox	1.0	1.0	0	265.0	Chain	1	1	0.0676563827014061
shot	1.0	1.0	0	265.0	Chain	1	1	0.0451254085337949
battlefield	1.0	1.0	1	265.0	Chain	1	1	0.0370880645985702
crush	1.0	1.0	0	265.0	Chain	1	1	0.0329652896310583
one	3.0	1.0	0	265.0	Chain	1	1	0.082048611880227
new	2.0	1.0	0	265.0	Chain	1	1	0.1649689517026295
factori	1.0	1.0	0	265.0	Chain	1	1	0.0308969679127897
industri	1.0	1.0	0	265.0	Chain	1	1	0.0618329507218401
revolut	1.0	1.0	0	265.0	Chain	1	1	0.0375050648319372
time	1.0	1.0	0	265.0	Chain	1	1	0.190274675152495
infect	8.0	1.0	1	265.0	Chain	1	1	0.2614109114846229
follow	1.0	1.0	0	265.0	Chain	1	1	0.0386512901128419
chang	2.0	1.0	0	265.0	Chain	1	1	0.1589867459545812
antibiot	9.0	1.0	1	265.0	Chain	1	1	0.5393564043808329
discov	2.0	1.0	0	265.0	Chain	1	1	0.1731423144466256
1928	1.0	1.0	0	265.0	Chain	1	1	0.1551621670886176
alexand	1.0	1.0	1	265.0	Chain	1	1	0.1451858168352986
fleme	1.0	1.0	1	265.0	Chain	1	1	0.1745396611842806
penicillin	1.0	1.0	1	265.0	Chain	1	1	0.316647146763146
drug	8.0	1.0	1	265.0	Chain	1	1	0.0375884483259284
still	1.0	1.0	0	265.0	Chain	1	1	0.0367098291927426
use	3.0	1.0	1	265.0	Chain	1	1	0.3289172049543467
fight	1.0	1.0	0	265.0	Chain	1	1	0.1504510484215982
bacteri	1.0	1.0	0	265.0	Chain	1	1	0.1477693898758224
suddenli	1.0	1.0	0	265.0	Chain	1	1	0.0063237671580322
death	3.0	1.0	0	265.0	Chain	1	1	0.1477059042397406
sentenc	1.0	1.0	0	265.0	Chain	1	1	0.0275968849923044
becam	1.0	1.0	0	265.0	Chain	1	1	0.0480278212503521
remedi	1.0	1.0	0	265.0	Chain	1	1	0.014272015337343
within	1.0	1.0	0	265.0	Chain	1	1	0.0361935932568296
day	1.0	1.0	0	265.0	Chain	1	1	0.1270607129533831
war	1.0	1.0	0	265.0	Chain	1	1	0.1208206495568048
ii	1.0	1.0	0	265.0	Chain	1	1	0.0526201316229351
treat	1.0	1.0	1	265.0	Chain	1	1	0.1901428693601051
pneumonia	1.0	1.0	0	265.0	Chain	1	1	0.0234024069636917
sepsi	1.0	1.0	0	265.0	Chain	1	1	0.0378347759371247
estim	2.0	1.0	0	265.0	Chain	1	1	0.0825606248897968
save	1.0	1.0	1	265.0	Chain	1	1	0.2591565423456843
1215	1.0	1.0	0	265.0	Chain	1	1	0.0282137664827249
alli	1.0	1.0	0	265.0	Chain	1	1	0.0485459955507627
forc	1.0	1.0	0	265.0	Chain	1	1	0.0280254845130042
insid	1.0	1.0	0	265.0	Chain	1	1	0.0103501310786171
golden	1.0	1.0	0	265.0	Chain	1	1	0.051178796351944
epoch	1.0	1.0	0	265.0	Chain	1	1	0.0146205617346901
miracl	1.0	1.0	0	265.0	Chain	1	1	0.0715562837011082
now	1.0	1.0	0	265.0	Chain	1	1	0.0773133222795761
come	1.0	1.0	0	265.0	Chain	1	1	0.1019192876751184
end	2.0	1.0	0	265.0	Chain	1	1	0.0675804920020831
it	1.0	1.0	1	265.0	Chain	1	1	0.0851919494957295
phenomenon	1.0	1.0	0	265.0	Chain	1	1	0.0185039978119939
call	1.0	1.0	0	265.0	Chain	1	1	0.0608759445800564
resist	6.0	1.0	1	265.0	Chain	1	1	0.3361382994816497
popularli	1.0	1.0	0	265.0	Chain	1	1	0.0103865116456088
refer	1.0	1.0	0	265.0	Chain	1	1	0.0147239190846677
“superbugs”	1.0	1.0	0	265.0	Chain	1	1	0.0064399693753023
bacteria	3.0	1.0	1	265.0	Chain	1	1	0.3357941522270458
compet	1.0	1.0	0	265.0	Chain	1	1	0.0191880968416415
resourc	1.0	1.0	0	265.0	Chain	1	1	0.0235265788570055
food	1.0	1.0	0	265.0	Chain	1	1	0.1768763894609117
manufactur	1.0	1.0	0	265.0	Chain	1	1	0.0143896044206414
lethal	1.0	1.0	0	265.0	Chain	1	1	0.0100545835191459
compound	2.0	1.0	0	265.0	Chain	1	1	0.0076188100217068
direct	1.0	1.0	1	265.0	Chain	1	1	0.0184376538099886
other	1.0	1.0	0	265.0	Chain	1	1	0.0092233915118178
first	1.0	1.0	0	265.0	Chain	1	1	0.0818176132898453
made	2.0	1.0	0	265.0	Chain	1	1	0.0191123686325772
took	1.0	1.0	0	265.0	Chain	1	1	0.010021388234949
lab	1.0	1.0	0	265.0	Chain	1	1	0.010257769605842
version	1.0	1.0	0	265.0	Chain	1	1	0.006228853411748
respond	1.0	1.0	0	265.0	Chain	1	1	0.0224876817518726
attack	1.0	1.0	0	265.0	Chain	1	1	0.0746606241398018
way	1.0	1.0	0	265.0	Chain	1	1	0.1306373561535476
alway	1.0	1.0	0	265.0	Chain	1	1	0.0089719497493964
had	1.0	1.0	0	265.0	Chain	1	1	0.0064399693753023
70	1.0	1.0	0	265.0	Chain	1	1	0.0670505921999742
year	4.0	1.0	1	265.0	Chain	1	1	0.1862148959663549
play	1.0	1.0	0	265.0	Chain	1	1	0.0272816433318929
game	2.0	1.0	0	265.0	Chain	1	1	0.0333038260637782
leapfrog	1.0	1.0	0	265.0	Chain	1	1	0.0418471571011077
anoth	1.0	1.0	0	265.0	Chain	1	1	0.0234621203766453
quickli	1.0	1.0	0	265.0	Chain	1	1	0.0515384754062693
pharmaceut	1.0	1.0	0	265.0	Chain	1	1	0.0944063430715673
compani	1.0	1.0	1	265.0	Chain	1	1	0.1716260235434486
decid	1.0	1.0	0	265.0	Chain	1	1	0.0232225738300186
make	1.0	1.0	0	265.0	Chain	1	1	0.1421216824322823
best	1.0	1.0	0	265.0	Chain	1	1	0.0177449394165439
interest	1.0	1.0	0	265.0	Chain	1	1	0.0232567883186501
move	1.0	1.0	0	265.0	Chain	1	1	0.0103823235577757
across	1.0	1.0	0	265.0	Chain	1	1	0.0062721477074867
which	1.0	1.0	0	265.0	Chain	1	1	0.0064399693753023
100	1.0	1.0	0	265.0	Chain	1	1	0.0466526859047805
avail	1.0	1.0	0	265.0	Chain	1	1	0.0299555511074169
market	1.0	1.0	0	265.0	Chain	1	1	0.0229936059431037
two	1.0	1.0	0	265.0	Chain	1	1	0.0227615097665048
might	1.0	1.0	0	265.0	Chain	1	1	0.0611896414901582
work	1.0	1.0	0	265.0	Chain	1	1	0.1558515147476651
side	1.0	1.0	0	265.0	Chain	1	1	0.0366831559416372
effect	1.0	1.0	1	265.0	Chain	1	1	0.149906135286858
none	1.0	1.0	0	265.0	Chain	1	1	0.0259158856140971
would	1.0	1.0	0	265.0	Chain	1	1	0.1271008495492187
natur	1.0	1.0	0	265.0	Chain	1	1	0.042705235235148
hope	1.0	1.0	0	265.0	Chain	1	1	0.0227808014648747
extraordinari	1.0	1.0	0	265.0	Chain	1	1	0.0064399693753023
case	1.0	1.0	0	265.0	Chain	1	1	0.041453202680858
fact	1.0	1.0	0	265.0	Chain	1	1	0.0279313323397093
unit	1.0	1.0	0	265.0	Chain	1	1	0.018517640990516
