,layer_n,rep,story1,story2,story3,story_merged,condition
648,1,0-0,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Antibiotics were developed to fight infections but over time those infections built up resistance and new antibiotics had to be developed. I is a never ending cycle to treat infections. Now, the cycle is ending and the infections may kill millions of people around the world in the coming years. One way to combat this is to stop using antibiotics in our every day lives.  ",Single-pathway
649,2,0-0,"Antibiotics were developed to fight infections but over time those infections built up resistance and new antibiotics had to be developed. I is a never ending cycle to treat infections. Now, the cycle is ending and the infections may kill millions of people around the world in the coming years. One way to combat this is to stop using antibiotics in our every day lives.  ","Antibiotics were developed to fight infections but over time those infections built up resistance and new antibiotics had to be developed. I is a never ending cycle to treat infections. Now, the cycle is ending and the infections may kill millions of people around the world in the coming years. One way to combat this is to stop using antibiotics in our every day lives.  ","Antibiotics were developed to fight infections but over time those infections built up resistance and new antibiotics had to be developed. I is a never ending cycle to treat infections. Now, the cycle is ending and the infections may kill millions of people around the world in the coming years. One way to combat this is to stop using antibiotics in our every day lives.  ",It is about antibiotics and how they were made to fight off infections and bacteria. This was a cycle the whole time and that recently that cycle to fight off infections is coming to an end. The infections are on the rise and millions of people are going to die because of infections and something has to be done with the cycle. ,Single-pathway
650,3,0-0,It is about antibiotics and how they were made to fight off infections and bacteria. This was a cycle the whole time and that recently that cycle to fight off infections is coming to an end. The infections are on the rise and millions of people are going to die because of infections and something has to be done with the cycle. ,It is about antibiotics and how they were made to fight off infections and bacteria. This was a cycle the whole time and that recently that cycle to fight off infections is coming to an end. The infections are on the rise and millions of people are going to die because of infections and something has to be done with the cycle. ,It is about antibiotics and how they were made to fight off infections and bacteria. This was a cycle the whole time and that recently that cycle to fight off infections is coming to an end. The infections are on the rise and millions of people are going to die because of infections and something has to be done with the cycle. ,Antibiotics are going to eventually run behind the number of infections that people have. Thus people will begin to die both because of weak antibiotics and lack of supply. The cycle of getting infected and taking antibiotics cannot last forever because bacteria will constantly evolve with mankind. More and more people are going to die as humanity carries on.,Single-pathway
651,4,0-0,Antibiotics are going to eventually run behind the number of infections that people have. Thus people will begin to die both because of weak antibiotics and lack of supply. The cycle of getting infected and taking antibiotics cannot last forever because bacteria will constantly evolve with mankind. More and more people are going to die as humanity carries on.,Antibiotics are going to eventually run behind the number of infections that people have. Thus people will begin to die both because of weak antibiotics and lack of supply. The cycle of getting infected and taking antibiotics cannot last forever because bacteria will constantly evolve with mankind. More and more people are going to die as humanity carries on.,Antibiotics are going to eventually run behind the number of infections that people have. Thus people will begin to die both because of weak antibiotics and lack of supply. The cycle of getting infected and taking antibiotics cannot last forever because bacteria will constantly evolve with mankind. More and more people are going to die as humanity carries on.,"Antibiotics will eventually become less effective, and people will start to die more. This is because of bacteria always changing. ",Single-pathway
652,5,0-0,"Antibiotics will eventually become less effective, and people will start to die more. This is because of bacteria always changing. ","Antibiotics will eventually become less effective, and people will start to die more. This is because of bacteria always changing. ","Antibiotics will eventually become less effective, and people will start to die more. This is because of bacteria always changing. ","Before antibiotics, many people died due to their injuries as bacteria would enter their wounds.  However, after the invention of penicillin, this changed dramatically.  For example, it is estimated that allied casualties fell by 10 to 15 percent because of penicillin.    However, as its use increased, bacteria strains have evolved to become resistant to antibiotics, resulting into super strains that existing medicines cannot fight.  It is estimated that around 700000 people a year die from these resistant strains of bacteria.  And, if trends continue, this number could rise to 10 million in a couple of decades.  So, the next time your kid has an ear ache, consider not using antibiotics, to stem the tide of drug resistance.",Single-pathway
653,6,0-0,"Before antibiotics, many people died due to their injuries as bacteria would enter their wounds.  However, after the invention of penicillin, this changed dramatically.  For example, it is estimated that allied casualties fell by 10 to 15 percent because of penicillin.    However, as its use increased, bacteria strains have evolved to become resistant to antibiotics, resulting into super strains that existing medicines cannot fight.  It is estimated that around 700000 people a year die from these resistant strains of bacteria.  And, if trends continue, this number could rise to 10 million in a couple of decades.  So, the next time your kid has an ear ache, consider not using antibiotics, to stem the tide of drug resistance.","Before antibiotics, many people died due to their injuries as bacteria would enter their wounds.  However, after the invention of penicillin, this changed dramatically.  For example, it is estimated that allied casualties fell by 10 to 15 percent because of penicillin.    However, as its use increased, bacteria strains have evolved to become resistant to antibiotics, resulting into super strains that existing medicines cannot fight.  It is estimated that around 700000 people a year die from these resistant strains of bacteria.  And, if trends continue, this number could rise to 10 million in a couple of decades.  So, the next time your kid has an ear ache, consider not using antibiotics, to stem the tide of drug resistance.","Before antibiotics, many people died due to their injuries as bacteria would enter their wounds.  However, after the invention of penicillin, this changed dramatically.  For example, it is estimated that allied casualties fell by 10 to 15 percent because of penicillin.    However, as its use increased, bacteria strains have evolved to become resistant to antibiotics, resulting into super strains that existing medicines cannot fight.  It is estimated that around 700000 people a year die from these resistant strains of bacteria.  And, if trends continue, this number could rise to 10 million in a couple of decades.  So, the next time your kid has an ear ache, consider not using antibiotics, to stem the tide of drug resistance.","A lot of people used to die from bacteria. However, penicillin reduced these deaths by 10 to 15 percent. However, new penicillin-resistant strains of bacteria are emerging. 700,000 people die from these each year, and that number could soon increase to 10 million. Don't use antibiotics unless you really need to.",Single-pathway
660,1,0-2,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","People didn't die of cancer 100 years ago because they died before these kinds of lifestyle driven diseases developed. They mostly died of diseases, particularly infections brought on after injury. This all changed with the advent of antibiotics. It's estimated that in World War II alone that 12-15% of allied losses were prevented by antibiotics.  However, this could all come to a close due to antibiotic resistance. Bacteria are constantly evolving and changing in ways that make them resistant to antibiotics. This has started to happen so quickly that pharmaceutical companies have stopped developing new antibiotics. It's estimated over 700,000 people die of drug resistant infections each year worldwide.  There are things we can do to help like boycotting purchase of food raised with antibiotics.",Single-pathway
661,2,0-2,"People didn't die of cancer 100 years ago because they died before these kinds of lifestyle driven diseases developed. They mostly died of diseases, particularly infections brought on after injury. This all changed with the advent of antibiotics. It's estimated that in World War II alone that 12-15% of allied losses were prevented by antibiotics.  However, this could all come to a close due to antibiotic resistance. Bacteria are constantly evolving and changing in ways that make them resistant to antibiotics. This has started to happen so quickly that pharmaceutical companies have stopped developing new antibiotics. It's estimated over 700,000 people die of drug resistant infections each year worldwide.  There are things we can do to help like boycotting purchase of food raised with antibiotics.","People didn't die of cancer 100 years ago because they died before these kinds of lifestyle driven diseases developed. They mostly died of diseases, particularly infections brought on after injury. This all changed with the advent of antibiotics. It's estimated that in World War II alone that 12-15% of allied losses were prevented by antibiotics.  However, this could all come to a close due to antibiotic resistance. Bacteria are constantly evolving and changing in ways that make them resistant to antibiotics. This has started to happen so quickly that pharmaceutical companies have stopped developing new antibiotics. It's estimated over 700,000 people die of drug resistant infections each year worldwide.  There are things we can do to help like boycotting purchase of food raised with antibiotics.","People didn't die of cancer 100 years ago because they died before these kinds of lifestyle driven diseases developed. They mostly died of diseases, particularly infections brought on after injury. This all changed with the advent of antibiotics. It's estimated that in World War II alone that 12-15% of allied losses were prevented by antibiotics.  However, this could all come to a close due to antibiotic resistance. Bacteria are constantly evolving and changing in ways that make them resistant to antibiotics. This has started to happen so quickly that pharmaceutical companies have stopped developing new antibiotics. It's estimated over 700,000 people die of drug resistant infections each year worldwide.  There are things we can do to help like boycotting purchase of food raised with antibiotics.","That people did not die from cancer 100 years ago because they did not age that long due to viruses.  Now that we have antibiotics it has saved tons of lives but it is changing so often that they quit making new ones.  There are still 700,000 people who die from infections.  A way you can help is to not purchase certain types of foods. ",Single-pathway
662,3,0-2,"That people did not die from cancer 100 years ago because they did not age that long due to viruses.  Now that we have antibiotics it has saved tons of lives but it is changing so often that they quit making new ones.  There are still 700,000 people who die from infections.  A way you can help is to not purchase certain types of foods. ","That people did not die from cancer 100 years ago because they did not age that long due to viruses.  Now that we have antibiotics it has saved tons of lives but it is changing so often that they quit making new ones.  There are still 700,000 people who die from infections.  A way you can help is to not purchase certain types of foods. ","That people did not die from cancer 100 years ago because they did not age that long due to viruses.  Now that we have antibiotics it has saved tons of lives but it is changing so often that they quit making new ones.  There are still 700,000 people who die from infections.  A way you can help is to not purchase certain types of foods. ","The people did not die from cancer 100 years ago.  Cancer continues to be the second most common cause of death in US, after heart disease. Now 700000 peple who die from infections. A way you helps us to not purchase certain types of foods.",Single-pathway
663,4,0-2,"The people did not die from cancer 100 years ago.  Cancer continues to be the second most common cause of death in US, after heart disease. Now 700000 peple who die from infections. A way you helps us to not purchase certain types of foods.","The people did not die from cancer 100 years ago.  Cancer continues to be the second most common cause of death in US, after heart disease. Now 700000 peple who die from infections. A way you helps us to not purchase certain types of foods.","The people did not die from cancer 100 years ago.  Cancer continues to be the second most common cause of death in US, after heart disease. Now 700000 peple who die from infections. A way you helps us to not purchase certain types of foods.","Cancer is a leading cause of death in the United States and nearly 700,000 people.  It is believed that certain types of foods can cause this too.",Single-pathway
