,condition,layer_n,k,story_merged
0,Multiple-pathway,1,0,0.09482758620689655
1,Multiple-pathway,4,2,0.043478260869565216
2,Multiple-pathway,4,2,0.13793103448275862
3,Multiple-pathway,4,2,0.017241379310344827
4,Multiple-pathway,4,2,0.06756756756756757
5,Multiple-pathway,5,0,0.075
6,Multiple-pathway,5,0,0.10204081632653061
7,Multiple-pathway,5,0,0.07272727272727272
8,Multiple-pathway,5,0,0.047619047619047616
9,Multiple-pathway,4,2,0.057692307692307696
10,Multiple-pathway,5,0,0.09859154929577464
11,Multiple-pathway,5,0,0.0625
12,Multiple-pathway,5,0,0.08571428571428572
13,Multiple-pathway,5,0,0.061224489795918366
14,Multiple-pathway,5,0,0.025
15,Multiple-pathway,5,0,0.08064516129032258
16,Multiple-pathway,5,0,0.06896551724137931
17,Multiple-pathway,5,0,0.017857142857142856
18,Multiple-pathway,5,0,0.09859154929577464
19,Multiple-pathway,5,0,0.05
20,Multiple-pathway,5,0,0.05555555555555555
21,Multiple-pathway,4,2,0.09375
22,Multiple-pathway,4,2,0.1
23,Multiple-pathway,4,2,0.05128205128205128
24,Multiple-pathway,4,2,0.025
25,Multiple-pathway,4,2,0.061224489795918366
26,Multiple-pathway,4,2,0.09090909090909091
27,Multiple-pathway,4,2,0.04838709677419355
28,Multiple-pathway,4,2,0.07894736842105263
29,Multiple-pathway,4,2,0.05357142857142857
30,Multiple-pathway,4,2,0.05357142857142857
31,Multiple-pathway,4,2,0.043478260869565216
32,Multiple-pathway,4,2,0.09375
33,Multiple-pathway,4,2,0.05063291139240506
34,Multiple-pathway,4,2,0.06818181818181818
35,Multiple-pathway,4,2,0.021739130434782608
36,Multiple-pathway,4,2,0.07407407407407407
37,Multiple-pathway,4,2,0.13043478260869565
38,Multiple-pathway,4,2,0.07575757575757576
39,Multiple-pathway,4,2,0.14285714285714285
40,Multiple-pathway,4,2,0.12903225806451613
41,Multiple-pathway,4,2,0.058823529411764705
42,Multiple-pathway,4,2,0.14285714285714285
43,Multiple-pathway,5,0,0.034482758620689655
44,Multiple-pathway,5,0,0.038461538461538464
45,Multiple-pathway,5,0,0.2
46,Multiple-pathway,5,0,0.045454545454545456
47,Multiple-pathway,5,0,0.08823529411764706
48,Multiple-pathway,5,0,0.0
49,Multiple-pathway,5,0,0.13043478260869565
50,Multiple-pathway,5,0,0.06818181818181818
51,Multiple-pathway,5,0,0.13513513513513514
52,Multiple-pathway,5,0,0.08620689655172414
53,Multiple-pathway,5,0,0.11627906976744186
54,Multiple-pathway,5,0,0.03389830508474576
55,Multiple-pathway,5,0,0.05128205128205128
56,Multiple-pathway,5,0,0.14705882352941177
