,condition,layer_n,k,story_merged
0,Multiple-pathway,1,0,0.6051154732704163
1,Multiple-pathway,4,2,0.41728684306144714
2,Multiple-pathway,4,2,0.7501247525215149
3,Multiple-pathway,4,2,0.7766634821891785
4,Multiple-pathway,4,2,0.7210163474082947
5,Multiple-pathway,5,0,0.658484935760498
6,Multiple-pathway,5,0,0.6075343489646912
7,Multiple-pathway,5,0,0.5444711446762085
8,Multiple-pathway,5,0,0.4765430986881256
9,Multiple-pathway,4,2,0.6295923590660095
10,Multiple-pathway,5,0,0.4890168309211731
11,Multiple-pathway,5,0,0.47639861702919006
12,Multiple-pathway,5,0,0.5851707458496094
13,Multiple-pathway,5,0,0.47739434242248535
14,Multiple-pathway,5,0,0.3521779179573059
15,Multiple-pathway,5,0,0.4519727826118469
16,Multiple-pathway,5,0,0.46819794178009033
17,Multiple-pathway,5,0,0.4712313115596771
18,Multiple-pathway,5,0,0.5257986187934875
19,Multiple-pathway,5,0,0.5456084609031677
20,Multiple-pathway,5,0,0.42010337114334106
21,Multiple-pathway,4,2,0.5530611872673035
22,Multiple-pathway,4,2,0.6790587306022644
23,Multiple-pathway,4,2,0.5200238227844238
24,Multiple-pathway,4,2,0.5612572431564331
25,Multiple-pathway,4,2,0.6895469427108765
26,Multiple-pathway,4,2,0.6220556497573853
27,Multiple-pathway,4,2,0.5975819826126099
28,Multiple-pathway,4,2,0.5389147996902466
29,Multiple-pathway,4,2,0.6149926781654358
30,Multiple-pathway,4,2,0.546011745929718
31,Multiple-pathway,4,2,0.6992294192314148
32,Multiple-pathway,4,2,0.721034049987793
33,Multiple-pathway,4,2,0.6874470710754395
34,Multiple-pathway,4,2,0.4547485113143921
35,Multiple-pathway,4,2,0.6164206266403198
36,Multiple-pathway,4,2,0.605280339717865
37,Multiple-pathway,4,2,0.5779467821121216
38,Multiple-pathway,4,2,0.461102694272995
39,Multiple-pathway,4,2,0.46243008971214294
40,Multiple-pathway,4,2,0.6720731258392334
41,Multiple-pathway,4,2,0.7015051245689392
42,Multiple-pathway,4,2,0.6329824924468994
43,Multiple-pathway,5,0,0.5290466547012329
44,Multiple-pathway,5,0,0.42323774099349976
45,Multiple-pathway,5,0,0.6772963404655457
46,Multiple-pathway,5,0,0.7975403666496277
47,Multiple-pathway,5,0,0.7209131121635437
48,Multiple-pathway,5,0,0.4567151963710785
49,Multiple-pathway,5,0,0.7205965518951416
50,Multiple-pathway,5,0,0.611827552318573
51,Multiple-pathway,5,0,0.7871612310409546
52,Multiple-pathway,5,0,0.7776365280151367
53,Multiple-pathway,5,0,0.8552780747413635
54,Multiple-pathway,5,0,0.7386855483055115
55,Multiple-pathway,5,0,0.7566382884979248
56,Multiple-pathway,5,0,0.6518204212188721
57,Multiple-pathway,5,0,0.7302386164665222
58,Multiple-pathway,5,0,0.7122802734375
59,Multiple-pathway,5,0,0.34679049253463745
60,Multiple-pathway,5,0,0.7032127976417542
61,Multiple-pathway,5,0,0.862413227558136
62,Multiple-pathway,5,0,0.7776694893836975
63,Multiple-pathway,5,0,0.8461521863937378
64,Multiple-pathway,5,0,0.5839360952377319
65,Multiple-pathway,5,0,0.6815972924232483
66,Multiple-pathway,5,0,0.771017849445343
67,Multiple-pathway,5,0,0.6281013488769531
68,Multiple-pathway,5,0,0.5364725589752197
69,Multiple-pathway,5,0,0.19975513219833374
70,Multiple-pathway,5,0,0.4753284156322479
71,Multiple-pathway,5,0,0.6157424449920654
72,Multiple-pathway,5,0,0.5027339458465576
73,Multiple-pathway,5,0,0.5673547983169556
74,Multiple-pathway,5,0,0.6816654205322266
75,Multiple-pathway,5,0,0.7929581999778748
76,Multiple-pathway,5,0,0.27579912543296814
77,Multiple-pathway,5,0,0.46748465299606323
78,Multiple-pathway,5,0,0.5582131147384644
79,Multiple-pathway,5,0,0.5936838984489441
80,Multiple-pathway,5,0,0.36223459243774414
81,Multiple-pathway,5,0,0.3586396872997284
82,Multiple-pathway,5,0,0.5005336403846741
83,Multiple-pathway,5,0,0.4706519544124603
84,Multiple-pathway,5,0,0.86419677734375
85,Multiple-pathway,5,0,0.4170658588409424
86,Multiple-pathway,4,2,0.5547378659248352
87,Multiple-pathway,4,2,0.7188134789466858
88,Multiple-pathway,4,2,0.6002739667892456
89,Multiple-pathway,4,2,0.6783918142318726
90,Multiple-pathway,4,2,0.735916793346405
91,Multiple-pathway,4,2,0.631780743598938
92,Multiple-pathway,4,2,0.5635018348693848
93,Multiple-pathway,4,2,0.5207709074020386
94,Multiple-pathway,4,2,0.5868404507637024
95,Multiple-pathway,4,2,0.29076361656188965
96,Multiple-pathway,4,2,0.7316610813140869
97,Multiple-pathway,4,2,0.7077397704124451
98,Multiple-pathway,4,2,0.4883226454257965
99,Multiple-pathway,4,2,0.4311886727809906
100,Multiple-pathway,4,2,0.5288998484611511
101,Multiple-pathway,4,2,0.5754573345184326
102,Multiple-pathway,4,2,0.4817061126232147
103,Multiple-pathway,4,2,0.4936434030532837
104,Multiple-pathway,4,2,0.7047772407531738
105,Multiple-pathway,4,2,0.5569524765014648
106,Multiple-pathway,4,2,0.7388470768928528
107,Multiple-pathway,4,2,0.5513599514961243
108,Multiple-pathway,4,2,0.4145541191101074
109,Multiple-pathway,4,2,0.42105579376220703
110,Multiple-pathway,4,2,0.5127612948417664
111,Multiple-pathway,4,2,0.5752901434898376
112,Multiple-pathway,4,2,0.3948768973350525
113,Multiple-pathway,4,2,0.4851320683956146
114,Multiple-pathway,4,2,0.5302554368972778
115,Multiple-pathway,4,2,0.513045072555542
116,Multiple-pathway,4,2,0.41129764914512634
117,Multiple-pathway,4,2,0.46597716212272644
118,Multiple-pathway,4,2,0.48915788531303406
119,Multiple-pathway,4,2,0.719011127948761
120,Multiple-pathway,4,2,0.5597118139266968
121,Multiple-pathway,4,2,0.4695759415626526
122,Multiple-pathway,4,2,0.6021184921264648
123,Multiple-pathway,4,2,0.6379973888397217
124,Multiple-pathway,4,2,0.434084415435791
125,Multiple-pathway,4,2,0.6138187646865845
126,Multiple-pathway,4,2,0.7883892059326172
127,Multiple-pathway,4,2,0.5547390580177307
128,Multiple-pathway,4,2,0.5992157459259033
129,Multiple-pathway,4,2,0.4294354319572449
130,Multiple-pathway,4,2,0.679202675819397
131,Multiple-pathway,4,2,0.6000639796257019
132,Multiple-pathway,4,2,0.6882754564285278
133,Multiple-pathway,4,2,0.6022304892539978
134,Multiple-pathway,4,2,0.6256858110427856
135,Multiple-pathway,4,2,0.45296984910964966
136,Multiple-pathway,4,2,0.43360981345176697
137,Multiple-pathway,4,2,0.6091256141662598
138,Multiple-pathway,4,2,0.720995306968689
139,Multiple-pathway,4,2,0.7275970578193665
140,Multiple-pathway,4,2,0.5427714586257935
141,Multiple-pathway,4,2,0.6523731350898743
142,Multiple-pathway,4,2,0.6092197895050049
143,Multiple-pathway,4,2,0.7193354964256287
144,Multiple-pathway,4,2,0.5920785665512085
145,Multiple-pathway,4,2,0.4443001449108124
146,Multiple-pathway,4,2,0.4892953336238861
147,Multiple-pathway,4,2,0.2925710678100586
148,Multiple-pathway,4,2,0.6507290601730347
149,Multiple-pathway,4,2,0.3157552182674408
150,Multiple-pathway,4,2,0.5926282405853271
151,Multiple-pathway,4,2,0.7228202819824219
152,Multiple-pathway,4,2,0.46433162689208984
153,Multiple-pathway,4,2,0.6735248565673828
154,Multiple-pathway,4,2,0.5525911450386047
155,Multiple-pathway,4,2,0.549235999584198
156,Multiple-pathway,4,2,0.6607449054718018
157,Multiple-pathway,4,2,0.6495791673660278
158,Multiple-pathway,4,2,0.6284684538841248
159,Multiple-pathway,4,2,0.5655070543289185
160,Multiple-pathway,4,2,0.6263315081596375
161,Multiple-pathway,4,2,0.7468918561935425
162,Multiple-pathway,4,2,0.4934900403022766
163,Multiple-pathway,4,2,0.6252809762954712
164,Multiple-pathway,4,2,0.6945880651473999
165,Multiple-pathway,4,2,0.6573646068572998
166,Multiple-pathway,4,2,0.6229525208473206
167,Multiple-pathway,4,2,0.65390545129776
168,Multiple-pathway,4,2,0.708660900592804
169,Multiple-pathway,4,2,0.7526234984397888
170,Multiple-pathway,4,2,0.5897026062011719
171,Multiple-pathway,4,2,0.7015672922134399
172,Multiple-pathway,4,2,0.33335062861442566
173,Multiple-pathway,4,2,0.527256429195404
174,Multiple-pathway,5,0,0.793647050857544
175,Multiple-pathway,4,2,0.5782397985458374
176,Multiple-pathway,5,0,0.8798800706863403
177,Multiple-pathway,5,0,0.6113450527191162
178,Multiple-pathway,5,0,0.7594770193099976
179,Multiple-pathway,5,0,0.6684456467628479
180,Multiple-pathway,5,0,0.690474271774292
181,Multiple-pathway,5,0,0.6359295845031738
182,Multiple-pathway,5,0,0.5503764152526855
183,Multiple-pathway,5,0,0.5750188827514648
184,Multiple-pathway,5,0,0.590988278388977
185,Multiple-pathway,5,0,0.48318925499916077
186,Multiple-pathway,5,0,0.5942431688308716
187,Multiple-pathway,5,0,0.678997278213501
188,Multiple-pathway,5,0,0.5935981273651123
189,Multiple-pathway,5,0,0.6208201050758362
190,Multiple-pathway,5,0,0.6365975737571716
191,Multiple-pathway,5,0,0.5813499093055725
192,Multiple-pathway,5,0,0.6068767309188843
193,Multiple-pathway,5,0,0.6214894652366638
194,Multiple-pathway,5,0,0.644329845905304
195,Multiple-pathway,5,0,0.6385994553565979
196,Multiple-pathway,5,0,0.6054902672767639
197,Multiple-pathway,5,0,0.6240898370742798
198,Multiple-pathway,5,0,0.7131542563438416
199,Multiple-pathway,5,0,0.4476076066493988
200,Multiple-pathway,5,0,0.7598863244056702
201,Multiple-pathway,5,0,0.7608779072761536
202,Multiple-pathway,5,0,0.7369368076324463
203,Multiple-pathway,5,0,0.7138222455978394
204,Multiple-pathway,5,0,0.7281889915466309
205,Multiple-pathway,5,0,0.5812091827392578
206,Multiple-pathway,5,0,0.6677501201629639
207,Multiple-pathway,5,0,0.7518229484558105
208,Multiple-pathway,5,0,0.6661611795425415
209,Multiple-pathway,5,0,0.7955666184425354
210,Multiple-pathway,5,0,0.7603704929351807
211,Multiple-pathway,5,0,0.6571570634841919
212,Multiple-pathway,5,0,0.7993968725204468
213,Multiple-pathway,5,0,0.6745278835296631
214,Multiple-pathway,5,0,0.728908896446228
215,Multiple-pathway,5,0,0.5179354548454285
216,Multiple-pathway,5,0,0.6701676845550537
217,Multiple-pathway,5,0,0.7269059419631958
218,Multiple-pathway,5,0,0.7217177748680115
219,Multiple-pathway,5,0,0.4899170994758606
220,Multiple-pathway,5,0,0.5969768762588501
221,Multiple-pathway,5,0,0.7426319122314453
222,Multiple-pathway,5,0,0.7229299545288086
223,Multiple-pathway,5,0,0.7496142387390137
224,Multiple-pathway,5,0,0.7324696779251099
225,Multiple-pathway,5,0,0.6354262828826904
226,Multiple-pathway,5,0,0.6625508666038513
227,Multiple-pathway,5,0,0.7709304094314575
228,Multiple-pathway,5,0,0.740699052810669
229,Multiple-pathway,5,0,0.575904130935669
230,Multiple-pathway,5,0,0.5880013704299927
231,Multiple-pathway,5,0,0.4998074769973755
232,Multiple-pathway,5,0,0.5276783108711243
233,Multiple-pathway,5,0,0.45138019323349
234,Multiple-pathway,5,0,0.5627065896987915
235,Multiple-pathway,5,0,0.5500302314758301
236,Multiple-pathway,5,0,0.5264865159988403
237,Multiple-pathway,5,0,0.6331082582473755
238,Multiple-pathway,5,0,0.5941186547279358
239,Multiple-pathway,5,0,0.6195318102836609
240,Multiple-pathway,5,0,0.6853397488594055
241,Multiple-pathway,5,0,0.7170111536979675
242,Multiple-pathway,5,0,0.4974873661994934
243,Multiple-pathway,5,0,0.7743497490882874
244,Multiple-pathway,5,0,0.598970353603363
245,Multiple-pathway,5,0,0.7166149616241455
246,Multiple-pathway,5,0,0.7073488831520081
247,Multiple-pathway,5,0,0.43469953536987305
248,Multiple-pathway,5,0,0.7711158990859985
249,Multiple-pathway,5,0,0.6587574481964111
250,Multiple-pathway,5,0,0.8252050280570984
251,Multiple-pathway,5,0,0.8025745749473572
252,Multiple-pathway,5,0,0.7864885926246643
253,Multiple-pathway,5,0,0.7824923992156982
