word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
antibiot	1	265	Chain	1	0.8549711700775386	0.8717022358221245	0.8900713662593986	0.7632504720762365	0.4979717703959982	0.7934683100418963	0.5417185979837522
peopl	1	265	Chain	1	0.7442173468629496	0.7702925616603501	0.7998472790204895	0.5989331382499974	0.3013018561051567	0.6402381763058377	0.3394536291302904
die	1	265	Chain	1	0.6584145986895468	0.689588444244598	0.7258309347924774	0.5069654564210749	0.23583440495544516	0.5506357851062601	0.2688866879311876
resist	1	265	Chain	1	0.6186239251664035	0.6515070967102393	0.6901983252410401	0.5768086110588578	0.39186383375546396	0.6189425271456858	0.43435409836276206
infect	1	265	Chain	1	0.6185861591114546	0.6514707523658464	0.6901640970378077	0.525734826479151	0.29888027478422013	0.5691555320140252	0.3368732586607478
bacteria	1	265	Chain	1	0.5561445902069257	0.5908519258440317	0.632478529570336	0.536862486812497	0.37631043943595827	0.5800781461732951	0.4182741819261984
use	1	265	Chain	1	0.5434264206354338	0.5783743032689564	0.6204549084039451	0.575080624802598	0.4640452589753287	0.6172724286384936	0.5078265098318279
live	1	265	Chain	1	0.5054308087864505	0.5408296158975763	0.583961964844809	0.4727380669383203	0.3067875882159707	0.5165490132323936	0.3452907061056537
cancer	1	265	Chain	1	0.5018938042790311	0.5373140215084958	0.5805204686494704	0.43629960644769655	0.25065772891200194	0.47980661787560125	0.28501265837606565
diseas	1	265	Chain	1	0.46636550424357187	0.5018043370014492	0.5455219949927588	0.4359553975605745	0.2777619981223715	0.4794572793993004	0.31427379301498304
penicillin	1	265	Chain	1	0.4186022840434563	0.4534960577368621	0.49720534975067054	0.43264317213265613	0.3124304191740161	0.47609351762514646	0.3512828586814271
year	1	265	Chain	1	0.40516704353648436	0.4397880379329586	0.48334463698316943	0.3204590004181045	0.15518626674689176	0.3597874021339411	0.17959205019545854
develop	1	265	Chain	1	0.385384799378356	0.41950756273173956	0.4627145957837573	0.36605741969154426	0.23028066963439328	0.40762507146788185	0.2628222980553706
heart	1	265	Chain	1	0.3790258833569129	0.4129639197044767	0.45602644592239977	0.3706776821146688	0.24230545565249728	0.41242865987335475	0.27593717356695263
long	1	265	Chain	1	0.3575837178652285	0.3908101305883751	0.43326754154761443	0.3376842243220389	0.20807958778577118	0.3779508363607529	0.2384558392317196
million	1	265	Chain	1	0.334801867266374	0.3671211349386091	0.4087316979594848	0.2793416855100755	0.14380282798684765	0.3159702859537633	0.16677177097037257
save	1	265	Chain	1	0.33328270315436087	0.3655359076715728	0.4070823671030556	0.3147841924579205	0.19193855085428124	0.35377872977539493	0.22061490374146844
enough	1	265	Chain	1	0.31889659932850944	0.350489472911485	0.3913807143803089	0.31389339737851213	0.20096777034389188	0.35283440706709907	0.23060813958537513
drug	1	265	Chain	1	0.30931218586693215	0.3404301292412054	0.38083589732217804	0.2780695344655009	0.15710564257972695	0.31460414573661155	0.18174834229761191
2050	1	265	Chain	1	0.3041219746684105	0.3349709990425114	0.375097307927075	0.27803366851018474	0.16031693387044463	0.31456562076094174	0.18535257374316483
death	1	265	Chain	1	0.303782709804797	0.3346138683048365	0.37472150191877324	0.29653543216842143	0.18641163155365856	0.33437249867493707	0.21448141612155916
like	1	265	Chain	1	0.27863876957430544	0.30804714906691283	0.34662930175172946	0.2588694707253993	0.15089141840301912	0.2939084508909869	0.17476148537447908
discov	1	265	Chain	1	0.27745585106350906	0.30679247952547045	0.34529590551533995	0.27661549733642943	0.17644036924250975	0.31304190638862556	0.2033840283580493
injuri	1	265	Chain	1	0.2774100792501018	0.3067439226507246	0.34524428966874504	0.22553940308915085	0.11054919584577153	0.25763528801054464	0.12900699278639333
could	1	265	Chain	1	0.27514381956908657	0.30433895498620783	0.34268667845253603	0.22266910837087706	0.10843533166943516	0.25449075237657015	0.12659042020140407
new	1	265	Chain	1	0.26873424959231895	0.2975284362543061	0.3354317909524159	0.2855656068895186	0.19652924060685487	0.32264493782638975	0.22569989047695346
time	1	265	Chain	1	0.263124579056086	0.2915573486304844	0.32905634547828727	0.2837016028391806	0.19818114359432012	0.320647528897472	0.2275275506350381
chang	1	265	Chain	1	0.26067712783590974	0.2889491350883425	0.326267165960201	0.22850886902360587	0.12279839013794415	0.2608849811814342	0.1429726205974378
treat	1	265	Chain	1	0.26061322962542804	0.28888101459804993	0.3261942836459637	0.26577824318364063	0.17297917088680023	0.3013720930201373	0.19952233176941347
help	1	265	Chain	1	0.24964070279149853	0.2771644736264149	0.3136318319362421	0.25188612434376295	0.16086966386282847	0.2863450803773745	0.1859725026777304
food	1	265	Chain	1	0.23542790467610078	0.2619316686846574	0.29721890824666	0.2720181018852061	0.20325904895950364	0.308096949624994	0.23313875280078583
thing	1	265	Chain	1	0.23507958180890376	0.2615575473619074	0.29681465451146455	0.19226222004141186	0.09397384262097999	0.2209737064504837	0.11000642444852096
10	1	265	Chain	1	0.2272332592409604	0.25311990785167254	0.2876827443305916	0.2080836873391069	0.11668793908632208	0.23846035704472104	0.13601395379719025
effect	1	265	Chain	1	0.22433092642657335	0.24999390091748208	0.2842923649238389	0.2912465946014894	0.2472718471963416	0.32872416898327894	0.28133694200742365
fleme	1	265	Chain	1	0.2165264956464902	0.2415747172345002	0.2751418402247206	0.2394545649890097	0.16791666408774797	0.2728330676052183	0.1938650967546779
fight	1	265	Chain	1	0.21578315825269562	0.240771815177648	0.27426771863354965	0.23994476413407917	0.1692857226305823	0.27336703701142434	0.19539603735449174
world	1	265	Chain	1	0.2144311856944534	0.23931105524358534	0.2726767256064929	0.1608486613626577	0.07039877251144828	0.18594894909767254	0.08277675171110224
take	1	265	Chain	1	0.21332442217096986	0.23811480091839626	0.27137318536549015	0.20987515904349313	0.12769448611060744	0.24043395158913383	0.14853687977406568
compani	1	265	Chain	1	0.21290115497843212	0.23765720573376145	0.27087439961947896	0.198274788236654	0.11286116954514866	0.22763112536738386	0.13164784956315298
them	1	265	Chain	1	0.2067156471839041	0.23096350348077802	0.2635685837572344	0.20885078501126683	0.13078448321264877	0.23930559820637315	0.15204331983525085
work	1	265	Chain	1	0.20251209173700013	0.22640759619649808	0.25858577892499207	0.18570249218169127	0.1033228326505275	0.21369354170894186	0.1207378648916969
bacteri	1	265	Chain	1	0.19786654120014388	0.22136604794432221	0.2530620961025991	0.25726566552181496	0.21485232946596458	0.2921731435969803	0.24591027320132242
1928	1	265	Chain	1	0.19244237889090393	0.2154707337598177	0.2465899952157035	0.2144634175743498	0.1496456650261736	0.2454827195654814	0.1733588967076385
make	1	265	Chain	1	0.187650179449142	0.21025438533684698	0.2408515633070183	0.19339469672176576	0.12281962800810699	0.22222877288547166	0.1429967788053582
alexand	1	265	Chain	1	0.17987761586172377	0.20177810457966358	0.2315033615751806	0.22496242659534058	0.17771233459543812	0.2570034509727108	0.20480192871240538
one	1	265	Chain	1	0.1791216786533569	0.20095268199120314	0.230591468090442	0.17436213628328612	0.1031338480288299	0.20106591610265556	0.12052130833325836
